topic_id,global_top_words,n_docs_total,first_month,last_month,n_months_active,n_subcluster_hits
53,"exchange cnx, cnx nifty, nifty index, rupees satyam, mr elop, himachal futuristic, elop, rupees reliance, satyam computers, rupees infosys, gujarat ambuja, rupees hindustan, exchange sensitive, rupees wipro, zee telefilms",1482,2000-01,2013-09,46,49
54,"zurich allied, rose francs, francs novartis, 50 francs, francs nestle, francs pharmaceutical, ubs gained, francs zurich, novartis gained, suisse gained, sairgroup, francs swisscom, roche fell, unaxis, 13 francs",430,2000-01,2001-05,17,17
55,"volume bse, rupees gainers, stock cnx, ril, nifty index, cnx nifty, 00 rupees, rupees hdfc, rupees icici, ringgit kuala, geojit bnp, rupees decliners, malaysia shares, rupees mumbai, rupees tata",4189,2000-01,2016-12,100,134
56,"80 rand, 50 rand, 40 rand, rand johannesburg, 70 rand, 30 rand, 10 rand, composite share, gold index, 90 rand, africa stocks, networking commerce, rand anglo, johannesburg shares, africa shares",502,2000-01,2001-04,16,21
57,"pence colt, pence logica, pence arm, pence energis, pence announcing, pence british, gained pence, spirent, pence despite, pence shell, 100 closed, heavyweight vodafone, dropped pence, colt telecom, london stocks",490,2000-01,2001-08,20,20
58,"nyse fell, poor smallcap, nyse rose, index nonfinancial, continental stoxx, nyse traded, measured russell, smallcap 600, david gaffen, nasdaq small, gaffen, nyse lost, cap markets, overall nasdaq, 600 declined",14871,2000-01,2021-12,255,399
59,"stockholm general, omx index, fell kronor, framfab, stockholm shares, vaccari, mr goldfajn, bendine, 50 kronor, mobilcom, mr vaccari, mr bendine, petrobras executives, general index, kronor amid",1695,2000-01,2019-12,57,60
60,"75 baht, thailand shares, hana microelectronics, foreign board, baht bangkok, thailand stocks, thailand index, excluding shares, board volume, baht national, 25 baht, telecomasia, 50 baht, baht thai, baht siam",457,2000-01,2001-04,16,17
61,"mr duhalde, duhalde, aires shares, mr cavallo, pesos banco, la rua, acindar, pesos telecom, volumes totaled, perez companc, companc, pc holdings, merval index, cavallo said, bansud",1963,2000-01,2021-11,59,62
62,"pfc manning, mr bulger, maj hasan, khobragade, mr valle, mr pistorius, skakel, mr sandusky, dorner, adebolajo, bulger, pistorius, mr tsarnaev, kloppenburg, ms steenkamp",4567,2000-01,2015-02,74,106
63,"speizer, gmt australian, ordinaries index, imre speizer, 2023 bond, ordinaries, april 2023, rba, heavyweight news, gmt new, chris hunter, rba cut, waterer, said kiwi, tim waterer",1747,2000-01,2015-02,54,67
64,"exchange weighted, zealand nzx, nt nt, points screen, poly real, taiwan taiex, screen trade, cents nt, rosalind mathieson, 50 nt, gained nt, nzx 50, india sensex, taiex, tracks class",5245,2000-01,2018-05,142,152
65,"brussels shares, bel 20, belgian shares, euros brussels, real software, euros fortis, colruyt, leading belgian, fortis rose, telindus, miniere, tessenderlo, fortis fell, barco, euros real",343,2000-01,2001-04,16,16
66,"venture manufacturing, lg card, singapore shares, unchanged volume, natsteel, established stores, natsteel electronics, datacraft asia, datacraft, haggen, wing lung, ascott, dbs land, omni industries, singapore cents",4632,2000-01,2021-08,99,102
67,"300 composite, mcas, stock groups, bombardier class, exchange 300, mr brégier, juniac, company celestica, 777x, toronto stocks, mr muilenburg, cseries, york indexes, a320neo, stall prevention",4949,2000-01,2021-08,118,123
68,"mr rusnak, mr jospin, mr stoiber, rpr, border serbia, stoiber, mr haider, obr, rusnak, davutoglu, mr faymann, mr davutoglu, mr clegg, jospin, gruevski",2374,2000-01,2016-10,60,67
69,"sk global, bupyong, bank lippo, daewoo motor, lg caltex, ibra, hyundai investment, hanbo, korean creditors, dong ah, prachai, tokyo style, hyundai engineering, chohung, mr prachai",1783,2000-01,2016-10,55,58
70,"mr grinstein, mr muilenburg, mcas, atsb, comair, max jets, ms druyun, buttrick, a3xx, sabena, mr arpey, alpa, carty said, muilenburg, mr carty",5205,2000-01,2021-11,117,138
71,"broeksmit, mr steffens, uam, lactalis, wesley jessen, medical manager, bfgoodrich, mr minder, safety kleen, inprise, healtheon, electronic chat, fca, ms barad, capital automotive",1313,2000-01,2014-12,33,39
72,"brl2, trading brl2, prebon factset, real exited, brl1, bellwether telefonos, pesos mexico, according tullett, exited active, zar8, centavos, mxn12, pln4, telmex class, reverse swap",1572,2000-01,2018-09,43,56
73,"bond 000, continuing unemployment, york treasurys, claims drawn, drawn workers, continuing claims, outperformed treasurys, bradley holcomb, week lag, claims proxy, zeltzer, adp report, dena aubin, anthony nieves, proxy layoffs",6361,2000-01,2017-09,180,200
74,"rupiah shares, 150 rupiah, indonesia shares, 25 rupiah, operator indosat, 50 rupiah, 250 rupiah, gudang garam, rupiah jakarta, garam, mr wahid, hm sampoerna, gudang, tun daim, 100 rupiah",1022,2000-01,2009-05,33,36
75,"xetra 30, dax xetra, ase composite, index sectors, subindex led, decliners london, cents quoted, gainers london, 600 largest, jones euro, joined single, french cac, technologies ifnny, national indexes, thursday pound",6779,2000-01,2018-12,207,210
76,"send reprint, reprint requests, 1950 1999, 800 635, 33 orders, collection best, orders 33, 8349, order 800, pepper salt, edward dempsey, journal portfolio, 1999 order, requests wall, reprint",53,2000-01,2000-04,3,3
77,"mr santorum, ben veniste, veniste, mr lindh, mr akin, hopeful stands, mr pickard, mr paladino, mr barak, ms bachmann, mr mourdock, mr riduan, tanzanite, pdb, amrozi",6767,2000-01,2017-01,108,168
78,"securities coupons, mae 30, york mortgage, outperformed treasurys, ibuying, current coupon, treasurys 32, coupons outperformed, ginnie maes, securities outperformed, ibuyers, prepayment risks, hedge ratios, refinancing index, coupon mortgage",1297,2000-01,2021-12,42,49
79,"madrid shares, cantabrico, euros madrid, index spain, mr villalonga, title 42, euros telefonica, mr vizcarra, euros banco, gonzález anaya, remain mexico, migrant protection, mr mesa, telefonica internet, ureta",1531,2000-01,2021-10,60,60
80,"mr haftar, mr netanyahu, mr gantz, hodeidah, unrwa, gen soleimani, houthis, soleimani, idlib, mr khashoggi, manbij, gantz, mr zarif, netanyahu government, haftar",4144,2000-01,2021-04,92,110
81,"telmex tmx, tsx 60, pesos shares, pesos class, 10 reals, 35 traded, toronto 10, reals sao, 00 reals, mexico wmmvy, 50 reals, 80 reals, reals shares, cpo shares, 60 reals",1693,2000-01,2008-04,73,73
82,"proview, tizen, mr elop, tweber, elop, lumia, galaxy iii, z10, wap phones, wap, mosaid, mr damore, blackberry 10, ultrabooks, galaxy s5",4397,2000-01,2017-08,83,95
83,"trial modifications, pcx, taylor bean, hamp, naca, treasury indexed, option arms, fha, indexed arms, 729 750, nothaft, indexed hybrid, charged prepaid, ms costa, mortgages averaged",2821,2000-01,2015-03,85,95
84,"divorce deal, brexit party, obr, tweber, brexit deal, kara response, mr weale, deal brexit, delay brexit, brexit plan, 2016 referendum, anti brexit, hard border, pro brexit, paternot",4914,2000-01,2020-11,128,144
85,"jones shanghai, china 88, shanghai class, shenzhen counterpart, shenzhen index, 88 index, jones china, shenzhen class, zhejiang southeast, guangdong electric, shanghai share, shanghai index, counterpart gained, technically reserved, counterpart added",491,2000-01,2012-12,18,18
86,"americas sector, 300 composite, americas markets, concerns laggards, movil class, bellwether telefonos, merval index, companc, perez companc, exchange 300, key ipc, reals oil, acindar, main bovespa, merval",2127,2000-01,2021-07,72,79
87,"lennard, future intermediate, mayall, mr komansky, sumption, mr pallotta, ms callan, komansky, verey, mr gutfreund, fisker, texas competitive, mr wheat, mr pasternak, csfbdirect",1186,2000-01,2014-08,33,38
88,"otteau, indexed arms, treasury indexed, landsource, nothaft, indexed hybrid, nothaft freddie, tomnitz, mr toll, miller appraiser, frank nothaft, billings index, citi habitats, shadow inventory, seiders",6014,2000-01,2021-12,162,177
89,"mr varsavsky, yazam, varsavsky, tweber, catcha, mr mabry, sir win, mr biver, sherborne, kara response, ggp, mr buettner, kiron, dell ventures, gazoontite",1830,2000-01,2019-04,63,64
