topic_id,global_top_words,n_docs_total,first_month,last_month,n_months_active,n_subcluster_hits
149,"seritage, mr boire, mytheresa, mr charney, mr lampert, boire, mr gennette, anntaylor, hoguet said, ms hoguet, heelys, bluelight, mr steinhafel, sears canada, mr schoonover",3721,2001-01,2020-07,78,80
150,"akp, gezi, taksim, mr erdogan, mr brunson, taksim square, mr erdoğan, basci, mr basci, gulen, hdp, brunson, central istanbul, chp, turkish assets",560,2001-02,2021-12,78,78
151,"cao singapore, mr prachai, prachai, polene, tpi polene, tjiwi kimia, tjiwi, kimia, asiaone, jinro, tpi, uem, effective planners, sk global, siam city",159,2001-02,2013-09,17,17
152,"mr haffa, em tv, haffa, kirch, mr kirch, mr ecclestone, kirch group, formula stake, ecclestone, slec, thomas haffa, prosiebensat, kirch media, said kirch, stake kirch",44,2001-02,2002-03,8,8
153,"prebon factset, brl2, trading brl2, mr neves, exited active, brl2 05, according tullett, brl1, real opened, nehme, mr esteves, brokerage sao, tombini, ms rousseff, ms silva",2046,2001-03,2017-07,74,79
154,"stories does, journal verified, mr hazare, ril, roundup news, crore, source reuters, source indian, hazare, indian newspapers, source times, maytas, lok sabha, news indian, 000 crore",2843,2001-03,2021-03,93,108
155,"rodas, chaldeans, shockley, mr bing, assyrians, ms floyd, assyrian, chaldean, nuclear families, mr valadao, ottumwa, number hispanics, montez, census form, 2000 census",102,2001-03,2016-09,14,14
156,"balita, esquel, tai ping, rice cooker, rasch, cafe coral, trust mart, texwinca, ms purcell, acftu, cipla, jollibee, mr sung, matsumura, asia 200",108,2001-04,2012-03,6,6
157,"adenovirus, sacra, fuzeon, vaxgen, aids drugs, zmapp, aids fund, brantly, ziagen, manguinhos, starlink, bayley, aids vaccine, dr brantly, unaids",260,2001-04,2014-09,23,24
158,"mr matlin, mr olofson, olofson, teleglobe, williams communications, flooz, mr winnick, velocita, xo, mr forstmann, mr capellas, winnick, loy yang, matlin, teligent",612,2001-04,2008-03,19,23
