month,n_total_docs,n_outliers_initial,n_outliers_recovered,n_outliers_unassigned,outlier_rate_initial,outlier_rate_final
2008-03,3225,583,27,556,0.1808,0.1724
2008-04,3630,461,21,440,0.127,0.1212
2008-05,3474,502,23,479,0.1445,0.1379
2008-06,3103,486,23,463,0.1566,0.1492
2008-07,3105,553,51,502,0.1781,0.1617
2008-08,2751,356,22,334,0.1294,0.1214
2008-09,2925,453,25,428,0.1549,0.1463
2008-10,3752,605,28,577,0.1612,0.1538
2008-11,2852,516,44,472,0.1809,0.1655
2008-12,3021,595,21,574,0.197,0.19
2009-01,3096,492,18,474,0.1589,0.1531
2009-02,3300,499,25,474,0.1512,0.1436
2009-03,3762,609,39,570,0.1619,0.1515
2009-04,3489,602,24,578,0.1725,0.1657
2009-05,3107,524,43,481,0.1687,0.1548
2009-06,3186,418,20,398,0.1312,0.1249
2009-07,3787,649,29,620,0.1714,0.1637
2009-08,3280,494,44,450,0.1506,0.1372
2009-09,3437,489,26,463,0.1423,0.1347
2009-10,3933,669,33,636,0.1701,0.1617
2009-11,3620,689,32,657,0.1903,0.1815
2009-12,3605,616,38,578,0.1709,0.1603
2010-01,3736,589,31,558,0.1577,0.1494
2010-02,3517,604,32,572,0.1717,0.1626
2010-03,4243,705,49,656,0.1662,0.1546
2010-04,3906,665,21,644,0.1703,0.1649
2010-05,4140,696,42,654,0.1681,0.158
2010-06,4155,558,47,511,0.1343,0.123
2010-07,4188,867,44,823,0.207,0.1965
2010-08,4000,699,48,651,0.1747,0.1628
2010-09,4202,728,34,694,0.1733,0.1652
2010-10,4322,872,34,838,0.2018,0.1939
2010-11,4211,595,34,561,0.1413,0.1332
2010-12,4026,470,35,435,0.1167,0.108
2011-01,4198,800,60,740,0.1906,0.1763
2011-02,4175,654,43,611,0.1566,0.1463
2011-03,4984,903,55,848,0.1812,0.1701
2011-04,4211,747,45,702,0.1774,0.1667
2011-05,4502,768,27,741,0.1706,0.1646
2011-06,4647,841,48,793,0.181,0.1706
2011-07,4190,671,41,630,0.1601,0.1504
2011-08,4484,667,28,639,0.1488,0.1425
2011-09,4207,598,54,544,0.1421,0.1293
2011-10,4072,562,32,530,0.138,0.1302
2011-11,4122,662,51,611,0.1606,0.1482
2011-12,3621,503,62,441,0.1389,0.1218
2012-01,3902,465,54,411,0.1192,0.1053
2012-02,3944,675,49,626,0.1711,0.1587
2012-03,4051,731,38,693,0.1804,0.1711
2012-04,3961,738,50,688,0.1863,0.1737
2012-05,4679,876,58,818,0.1872,0.1748
2012-06,3817,515,29,486,0.1349,0.1273
2012-07,3928,684,57,627,0.1741,0.1596
2012-08,4009,586,36,550,0.1462,0.1372
2012-09,3587,626,47,579,0.1745,0.1614
2012-10,4404,771,77,694,0.1751,0.1576
2012-11,4007,668,47,621,0.1667,0.155
2012-12,3454,649,47,602,0.1879,0.1743
2013-01,4212,592,49,543,0.1406,0.1289
2013-02,3920,624,34,590,0.1592,0.1505
2013-03,4027,670,46,624,0.1664,0.155
2013-04,4287,781,78,703,0.1822,0.164
2013-05,4316,575,43,532,0.1332,0.1233
2013-06,3396,409,56,353,0.1204,0.1039
2013-07,3073,487,53,434,0.1585,0.1412
2013-08,2652,321,50,271,0.121,0.1022
2013-09,2579,366,27,339,0.1419,0.1314
2013-10,2959,492,33,459,0.1663,0.1551
2013-11,2538,454,28,426,0.1789,0.1678
2013-12,2730,461,40,421,0.1689,0.1542
2014-01,3425,515,31,484,0.1504,0.1413
